Species	accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlB	chlL	chlN	clpP	cysA	cysT	infA	matK	ndhA	ndhB	ndhC	ndhD	ndhE	ndhF	ndhG	ndhH	ndhI	ndhJ	ndhK	petA	petB	petD	petG	petL	petN	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl14	rpl16	rpl2	rpl20	rpl21	rpl22	rpl23	rpl32	rpl33	rpl36	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps15	rps16	rps18	rps19	rps2	rps3	rps4	rps7	rps8	ycf1	ycf12	ycf2	ycf3	ycf4	ycf66
MeanLength	334.9333333	508.0666667	493.4	137.1333333	176.0666667	82.06666667	249.7333333	323.6	442.2	513.2142857	292.2142857	466.75	203.4	374.5	274.5	79.13333333	514.5555556	368	501.2352941	121.7142857	485	100.1428571	723.9166667	197.2142857	393.4285714	182.8571429	166.7692308	242.5714286	323.3571429	216	161.3333333	38.06666667	32	30.18181818	750.9285714	734.8571429	82	37	43.06666667	33	353.8	508.7857143	473.9285714	353.9285714	83.85714286	39.93333333	74.26666667	37	41	56.92857143	39.2	39.64285714	44.93333333	36.73333333	63	476	123.6666667	140.8666667	277.8	118.6666667	117.6923077	123.2	92.4	64.46666667	66.4	38	341.0909091	1070.833333	683.6	1410.142857	131.7333333	114.5625	101.1333333	89.46153846	83.8	79.66666667	92.93333333	237	219.0666667	203.0666667	155.8888889	133	1488.818182	34	2068	168.5384615	188.3333333	127
2906	313	504	493	134	141	82	249	0	506	511	292	468	196	0	0	70	516	370	457	108	487	101	713	236	385	156	173	250	320	210	164	38	0	0	751	735	82	37	43	25	354	509	474	354	84	38	74	0	40	58	39	31	39	36	63	472	147	145	272	117	117	120	89	43	66	27	46	1049	679	1353	130	161	97	89	0	76	93	237	219	199	156	133	1634	34	1269	165	182	115
3160	323	453	490	139	133	65	219	58	341	463	372	417	198	0	0	71	195	265	363	101	373	29	609	168	337	170	147	118	312	213	121	30	0	0	756	732	82	37	0	28	354	485	434	354	66	32	74	0	0	33	0	0	0	26	49	473	80	102	192	67	96	103	66	32	53	38	0	847	642	915	70	268	38	0	0	44	58	230	117	195	153	96	439	0	475	147	138	0
3164	301	502	486	176	129	82	247	32	410	508	292	477	171	0	32	75	498	323	484	121	477	65	692	161	390	184	168	187	292	213	149	33	0	0	751	735	81	0	36	0	353	503	473	354	84	36	57	0	0	55	24	0	39	0	57	472	112	145	278	0	103	114	79	38	56	0	0	975	679	1061	121	160	95	0	0	52	78	237	233	197	136	129	1085	0	914	140	177	0
3167	310	508	493	134	141	81	249	88	458	502	292	475	260	0	0	123	458	373	505	124	496	93	689	251	391	169	170	214	320	213	158	38	0	0	751	735	81	31	43	0	354	509	473	354	84	40	74	0	28	56	39	31	40	32	51	474	122	177	280	117	117	120	71	54	66	38	0	1062	677	1352	131	136	78	68	0	48	84	237	219	203	148	133	1419	34	1077	163	177	101
3168	305	484	435	102	141	78	251	28	461	502	255	458	104	0	34	43	313	324	333	100	426	40	695	159	432	138	172	195	322	201	145	30	0	0	751	730	81	0	31	0	354	508	473	354	84	0	62	0	0	0	39	32	26	32	41	476	81	144	273	0	110	104	91	54	51	31	33	932	611	968	111	120	78	55	0	36	92	237	214	107	133	133	820	0	458	112	282	50
3169	293	495	491	134	141	82	249	62	375	511	292	442	178	0	0	78	368	299	306	124	498	90	682	157	394	174	172	241	304	213	148	33	0	0	751	735	68	0	0	31	354	506	473	354	84	39	73	0	28	0	20	31	44	26	42	476	84	131	285	95	103	105	94	0	56	26	0	1004	653	1072	124	123	50	50	0	76	55	237	219	194	149	53	1242	34	882	122	140	0
3173	308	508	487	134	185	82	249	0	447	508	292	473	200	0	41	60	420	336	463	124	485	101	711	195	392	184	168	245	320	213	155	38	0	30	751	735	78	28	43	0	354	507	470	354	84	28	74	0	41	59	39	28	44	36	63	476	114	145	278	118	89	175	92	26	66	38	0	1031	679	1392	131	158	101	76	0	76	93	237	219	199	156	133	1536	34	1036	169	183	63
3174	301	508	493	144	147	51	244	0	268	503	291	427	103	0	0	164	288	368	325	103	499	96	635	159	478	160	142	238	311	214	118	33	0	0	756	735	81	29	0	0	352	503	475	354	84	40	0	0	0	59	24	0	0	0	32	476	125	131	305	83	108	101	71	0	0	34	0	943	619	1005	113	33	64	58	0	101	54	237	166	199	140	66	962	0	844	76	177	47
3175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
